news_id,user_name,screen_name,time_of_tweet,retweet_count,news_tweet,hashtags,hashtags_sensitive
1121446898030788615,Hollywood Reporter,THR,Thu Apr 25 16:12:30 +0000 2019,13,Director @ava DuVernay joins #TCM to discuss #TheEssentials https://t.co/DpitdptIkU https://t.co/7V7Emk7rEw ,TCM,TCM
1121446898030788615,Hollywood Reporter,THR,Thu Apr 25 16:12:30 +0000 2019,13,Director @ava DuVernay joins #TCM to discuss #TheEssentials https://t.co/DpitdptIkU https://t.co/7V7Emk7rEw ,TheEssentials,TheEssentials
1121444588336615427,Hollywood Reporter,THR,Thu Apr 25 16:03:19 +0000 2019,3,Watch @justinlong have an awkward run-in with student in #SafeSpaces clip https://t.co/qD0XMIuj7L #Tribeca https://t.co/HiWukhLJG3 ,SafeSpaces,SafeSpaces
1121444588336615427,Hollywood Reporter,THR,Thu Apr 25 16:03:19 +0000 2019,3,Watch @justinlong have an awkward run-in with student in #SafeSpaces clip https://t.co/qD0XMIuj7L #Tribeca https://t.co/HiWukhLJG3 ,Tribeca,Tribeca
1121441213603667969,Hollywood Reporter,THR,Thu Apr 25 15:49:55 +0000 2019,50,Watch @TessaThompson_x and @chrishemsworth get a sidekick in the new #MIBInternational trailer: https://t.co/hTdgPPacgF https://t.co/BrmWY1eE81 ,MIBInternational,MIBInternational
1121439993896079360,Hollywood Reporter,THR,Thu Apr 25 15:45:04 +0000 2019,37,How @JordanPeele's #TheTwilightZone took on a terrifying celebrity presidency with @JacobTremblay https://t.co/lP0NdpxxMs https://t.co/tCwFUFvHNK ,TheTwilightZone,TheTwilightZone
1121439763318345728,Hollywood Reporter,THR,Thu Apr 25 15:44:09 +0000 2019,5,TV ratings: #Survivor| #ChicagoFire land on top https://t.co/xq33UNgt5F https://t.co/4rkzIgVjan ,Survivor,Survivor
1121439763318345728,Hollywood Reporter,THR,Thu Apr 25 15:44:09 +0000 2019,5,TV ratings: #Survivor| #ChicagoFire land on top https://t.co/xq33UNgt5F https://t.co/4rkzIgVjan ,ChicagoFire,ChicagoFire
1121439492911652865,Hollywood Reporter,THR,Thu Apr 25 15:43:05 +0000 2019,9,The new and returning stars who will be joining Daniel Craig in his fifth and final #JamesBond outing have been revealed https://t.co/Ha5DY8XrLJ https://t.co/00sB9fEjC0 ,JamesBond,JamesBond
1121438741334241280,Hollywood Reporter,THR,Thu Apr 25 15:40:05 +0000 2019,6,Oleg Ivenko talks taking ballet legend Rudolf Nureyev from stage to screen in #WhiteCrow https://t.co/neh67eVSLw https://t.co/RnNdwKvnzX ,WhiteCrow,WhiteCrow
1121437460779667457,Hollywood Reporter,THR,Thu Apr 25 15:35:00 +0000 2019,36,Rami Malek was officially revealed as the chief villain in Thursday's announcement| which included plot details but no title for #Bond25 https://t.co/5QCr6PxLEr ,Bond25,Bond25
1121437360892317697,Hollywood Reporter,THR,Thu Apr 25 15:34:36 +0000 2019,3,Artists @Madonna| @BTS_twt| @jonasbrothers to perform at #BBMAs https://t.co/Tk0FqiIR7p https://t.co/NLp0Hh2XFv ,BBMAs,BBMAs
1121436498161745921,Hollywood Reporter,THR,Thu Apr 25 15:31:11 +0000 2019,33,Musician @Madonna talks giving  zero you-know-whats  on new #MadameX album https://t.co/D0Cs7YHVdp https://t.co/uTlZowMzJb ,MadameX,MadameX
1121436238702157826,Hollywood Reporter,THR,Thu Apr 25 15:30:09 +0000 2019,8,Why #Gotham  was a different world  for Batman showrunners Danny Cannon and John Stephens https://t.co/X1Ux27QK8t https://t.co/E48GR6XJDX ,Gotham,Gotham
1121430952083972096,Hollywood Reporter,THR,Thu Apr 25 15:09:08 +0000 2019,41,Marvel's #AvengersEndgame is already smashing records overseas https://t.co/4i5XR4EhjL https://t.co/Tc6wax5UDD ,AvengersEndgame,AvengersEndgame
1121428729178275841,Hollywood Reporter,THR,Thu Apr 25 15:00:18 +0000 2019,2,Rupert Murdoch| Baz Luhrmann and more play musical offices at #Fox and Warner lots https://t.co/m4lxCzHxIg https://t.co/w5pXTwEaFu ,Fox,Fox
1121427144675155969,Hollywood Reporter,THR,Thu Apr 25 14:54:01 +0000 2019,92, I can do this all day.  Heading into #AvengersEndgame| there are few characters who are in greater danger than #CaptainAmerica. But| before he takes on #Thanos again in 'Endgame|' it's time to look back on the star-spangled superhero's journey so far https://t.co/4aR63P35cp https://t.co/PFWxBKQLa6 ,AvengersEndgame,AvengersEndgame
1121427144675155969,Hollywood Reporter,THR,Thu Apr 25 14:54:01 +0000 2019,92, I can do this all day.  Heading into #AvengersEndgame| there are few characters who are in greater danger than #CaptainAmerica. But| before he takes on #Thanos again in 'Endgame|' it's time to look back on the star-spangled superhero's journey so far https://t.co/4aR63P35cp https://t.co/PFWxBKQLa6 ,CaptainAmerica,CaptainAmerica
1121427144675155969,Hollywood Reporter,THR,Thu Apr 25 14:54:01 +0000 2019,92, I can do this all day.  Heading into #AvengersEndgame| there are few characters who are in greater danger than #CaptainAmerica. But| before he takes on #Thanos again in 'Endgame|' it's time to look back on the star-spangled superhero's journey so far https://t.co/4aR63P35cp https://t.co/PFWxBKQLa6 ,Thanos,Thanos
1121421278617964551,Hollywood Reporter,THR,Thu Apr 25 14:30:42 +0000 2019,11,Samantha Bee on the tradition-breaking decision to not have a comedian speak at Saturday's annual #WHCD:  They have acquiesced| and I do not approve| so we will have our own dinner and we will do it the way we want to do it  https://t.co/xU3ZRO5aLY ,WHCD,WHCD
1121418632448413696,Hollywood Reporter,THR,Thu Apr 25 14:20:11 +0000 2019,14,Watch #AvengersEndgame stars @ChrisEvans| @BrieLarson and @SamuelLJackson talk Captain America's fate and more https://t.co/584zkYOwN5 https://t.co/nIlLqwC9sq ,AvengersEndgame,AvengersEndgame
